CampusKey,Timestamp,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection
1,2021-01-02 05:15:00,17.08666667,17.48666667,15.02666667,85.4,55.53333333,68.73333333
1,2021-01-02 05:30:00,17.31333333,17.36666667,15.04666667,86.4,51.80666667,72.8
1,2021-01-02 05:45:00,18.18,17.20666667,15.02,87.06666667,54.52666667,71.46666667
1,2021-01-02 06:00:00,18.61333333,16.97333333,15.12666667,88.93333333,56.04666667,70.2
1,2021-01-02 06:15:00,17.95333333,16.8,15.28666667,90.8,54.1,70.2
1,2021-01-02 06:30:00,18.1,16.95333333,15.48,91.13333333,55.25333333,70.0
1,2021-01-02 06:45:00,18.54,17.37333333,15.64,89.66666667,50.68666667,70.0
1,2021-01-02 07:00:00,19.05333333,18.01333333,15.85333333,87.2,46.04666667,70.0
1,2021-01-02 07:15:00,19.99333333,18.43333333,15.58666667,83.46666667,40.75333333,56.66666667
1,2021-01-02 07:30:00,19.38,19.15333333,15.65333333,80.0,40.74666667,72.46666667
1,2021-01-02 07:45:00,20.41333333,20.0,15.25333333,74.13333333,41.84666667,76.66666667
1,2021-01-02 08:00:00,21.46666667,21.34666667,15.19333333,68.0,39.5,62.06666667
1,2021-01-02 08:15:00,22.36,22.82666667,14.2,58.33333333,44.22,51.46666667
1,2021-01-02 08:30:00,22.89333333,23.44,13.79333333,54.66666667,34.44,47.6
1,2021-01-02 08:45:00,22.85333333,23.68666667,13.48,52.73333333,37.67333333,152.33333330000005
1,2021-01-02 09:00:00,23.26,23.92666667,13.41333333,51.86666667,35.78666667,233.0666667
1,2021-01-02 09:15:00,22.93333333,23.86666667,13.3,51.6,41.13333333,336.2
1,2021-01-02 09:30:00,23.06,24.22666667,13.18666667,50.13333333,44.56,254.6666667
1,2021-01-02 09:45:00,23.16,24.88,13.0,47.6,40.2,295.6
1,2021-01-02 10:00:00,24.02,25.22666667,13.02666667,46.73333333,42.61333333,125.8666667
1,2021-01-02 10:15:00,22.74666667,24.67333333,12.43333333,46.46666667,34.51333333,72.53333333
1,2021-01-02 10:30:00,23.54666667,24.41333333,12.78666667,48.26666667,41.22,38.2
1,2021-01-02 10:45:00,24.51333333,25.25333333,13.2,47.2,39.54,55.53333333
1,2021-01-02 11:00:00,24.22666667,25.48666667,12.71333333,45.06666667,39.60666667,59.6
1,2021-01-02 11:15:00,24.34666667,25.26,12.77333333,45.86666667,34.77333333,104.6666667
1,2021-01-02 11:30:00,24.34,25.00666667,12.65333333,46.2,31.96666667,85.13333333
1,2021-01-02 11:45:00,24.30666667,24.76,12.72,47.2,35.55333333,116.0
1,2021-01-02 12:00:00,25.07333333,24.81333333,12.9,47.6,33.75333333,198.9333333
1,2021-01-02 12:15:00,24.66666667,24.71333333,12.88666667,47.73333333,34.59333333,134.4666667
1,2021-01-02 12:30:00,25.14666667,25.32666667,13.08,46.6,38.52666667,56.33333333
1,2021-01-02 12:45:00,25.76,26.02666667,13.28,45.26666667,36.54,260.6
1,2021-01-02 13:00:00,26.14666667,26.42666667,13.04666667,43.6,35.04666667,260.7333333
1,2021-01-02 13:15:00,27.15333333,27.2,13.56,43.06666667,34.71333333,191.8
1,2021-01-02 13:30:00,27.6,27.62666667,13.34,41.4,36.82666667,187.8666667
1,2021-01-02 13:45:00,27.64666667,27.96666667,13.60666667,41.33333333,35.86666667,146.2
1,2021-01-02 14:00:00,27.60666667,28.02666667,13.26666667,40.26666667,38.67333333,185.2666667
1,2021-01-02 14:15:00,27.94666667,28.41333333,13.65333333,40.4,35.28666667,147.6
1,2021-01-02 14:30:00,27.79333333,28.57333333,13.60666667,39.86666667,35.22,156.2666667
1,2021-01-02 14:45:00,27.97333333,28.49333333,13.34666667,39.4,35.58,165.5333333
1,2021-01-02 15:00:00,28.86,29.12666667,13.44666667,38.26666667,31.7,115.6
1,2021-01-02 15:15:00,28.49333333,29.18,13.14,37.33333333,33.58,180.2666667
1,2021-01-02 15:30:00,28.37333333,28.78666667,13.42,38.93333333,35.57333333,145.5333333
1,2021-01-02 15:45:00,23.57333333,25.99333333,14.02,48.0,35.16666667,114.53333329999998
1,2021-01-02 16:00:00,21.2,23.34,15.66,62.06666667,33.22,112.0666667
1,2021-01-02 16:15:00,22.14666667,22.79333333,16.6,68.06666667,34.11333333,114.53333329999998
1,2021-01-02 16:30:00,22.80666667,22.33333333,17.53333333,74.26666667,34.27333333,111.6666667
1,2021-01-02 16:45:00,23.67333333,22.08666667,18.23333333,78.8,36.3,135.4666667
1,2021-01-02 17:00:00,23.55333333,21.14,19.33333333,89.46666667,33.7,161.06666669999996
1,2021-01-02 17:15:00,21.73333333,19.64,19.32666667,98.2,33.52666667,167.33333330000005
1,2021-01-02 17:30:00,21.52,19.61333333,19.45333333,99.2,32.54,121.2
1,2021-01-02 17:45:00,20.37333333,19.24666667,19.23333333,99.93333333,32.83333333,93.46666667
1,2021-01-02 18:00:00,19.90666667,18.74,18.67333333,99.66666667,32.95333333,154.2666667
1,2021-01-02 18:15:00,19.85333333,18.55333333,18.55333333,100.0,28.67333333,154.66666669999995
1,2021-01-02 18:30:00,20.9,19.1,19.19333333,100.0,25.66,161.1333333
1,2021-01-02 18:45:00,20.84666667,19.36666667,19.42,100.0,23.86,142.4
1,2021-01-02 19:00:00,21.21333333,19.44,19.44,100.0,26.94,124.3333333
1,2021-01-02 19:15:00,21.52,19.56,19.56,100.0,23.32,123.46666670000002
1,2021-01-02 19:30:00,21.78666667,19.63333333,19.63333333,100.0,24.08,122.0666667
1,2021-01-02 19:45:00,21.93333333,19.47333333,19.47333333,100.0,24.42,131.3333333
1,2021-01-02 20:00:00,21.83333333,19.31333333,19.31333333,100.0,18.12,144.66666669999995
1,2021-01-02 20:15:00,22.31333333,19.26666667,19.26666667,100.0,19.5,129.0
1,2021-01-02 20:30:00,22.62,19.32666667,19.32666667,100.0,22.1,129.0
1,2021-01-02 20:45:00,22.46666667,19.16,19.16,100.0,20.26,129.0
